number,chapter_title,title_eng,title,book_id
1,Purification - الطهارة,Purification,الطهارة,Sunan al-Tirmidhi
2,Salat (Prayer) - الصلاة,Salat (Prayer),الصلاة,Sunan al-Tirmidhi
3,Al-Witr - الْوِتْرِ,Al-Witr,الْوِتْرِ,Sunan al-Tirmidhi
4,The Day of Friday - الجمعة,The Day of Friday,الجمعة,Sunan al-Tirmidhi
5,The Two Eids - العيدين,The Two Eids,العيدين,Sunan al-Tirmidhi
6,Traveling - السفر,Traveling,السفر,Sunan al-Tirmidhi
7,Zakat - الزكاة,Zakat,الزكاة,Sunan al-Tirmidhi
8,Fasting - الصوم,Fasting,الصوم,Sunan al-Tirmidhi
9,Hajj - الحج,Hajj,الحج,Sunan al-Tirmidhi
10,Janaiz (Funerals) - الجنائز,Janaiz (Funerals),الجنائز,Sunan al-Tirmidhi
11,Marriage - النكاح,Marriage,النكاح,Sunan al-Tirmidhi
12,Suckling - الرضاع,Suckling,الرضاع,Sunan al-Tirmidhi
13,Divorce and Lian - الطلاق واللعان,Divorce and Lian,الطلاق واللعان,Sunan al-Tirmidhi
14,Business - البيوع,Business,البيوع,Sunan al-Tirmidhi
15,Judgements - الأحكام,Judgements,الأحكام,Sunan al-Tirmidhi
16,Blood Money - الديات,Blood Money,الديات,Sunan al-Tirmidhi
17,Legal Punishments (Al-Hudud) - الحدود,Legal Punishments (Al-Hudud),الحدود,Sunan al-Tirmidhi
18,Hunting - الصيد والذبائح,Hunting,الصيد والذبائح,Sunan al-Tirmidhi
19,Sacrifices - الأضاحى,Sacrifices,الأضاحى,Sunan al-Tirmidhi
20,Vows and Oaths - النذور والأيمان,Vows and Oaths,النذور والأيمان,Sunan al-Tirmidhi
21,Military Expeditions - السير,Military Expeditions,السير,Sunan al-Tirmidhi
22,Virtues of Jihad - فضائل الجهاد,Virtues of Jihad,فضائل الجهاد,Sunan al-Tirmidhi
23,Jihad - الجهاد,Jihad,الجهاد,Sunan al-Tirmidhi
24,Clothing - اللباس,Clothing,اللباس,Sunan al-Tirmidhi
25,Food - الأطعمة,Food,الأطعمة,Sunan al-Tirmidhi
26,Drinks - الأشربة,Drinks,الأشربة,Sunan al-Tirmidhi
27,Righteousness And Maintaining Good Relations With Relatives - البر والصلة,Righteousness And Maintaining Good Relations With Relatives,البر والصلة,Sunan al-Tirmidhi
28,Medicine - الطب,Medicine,الطب,Sunan al-Tirmidhi
29,Inheritance - الفرائض,Inheritance,الفرائض,Sunan al-Tirmidhi
30,Wasaya (Wills and Testament) - الوصايا,Wasaya (Wills and Testament),الوصايا,Sunan al-Tirmidhi
31,Wala' And Gifts - الولاء والهبة,Wala' And Gifts,الولاء والهبة,Sunan al-Tirmidhi
32,Al-Qadar - القدر,Al-Qadar,القدر,Sunan al-Tirmidhi
33,Al-Fitan - الفتن,Al-Fitan,الفتن,Sunan al-Tirmidhi
34,Dreams - الرؤيا,Dreams,الرؤيا,Sunan al-Tirmidhi
35,Witnesses - الشهادات,Witnesses,الشهادات,Sunan al-Tirmidhi
36,Zuhd - الزهد,Zuhd,الزهد,Sunan al-Tirmidhi
37,"The Description of the Day of Judgement, Ar-Riqaq, and Al-Wara' - صفة القيامة والرقائق والورع","The Description of the Day of Judgement, Ar-Riqaq, and Al-Wara'",صفة القيامة والرقائق والورع,Sunan al-Tirmidhi
38,The Description of Paradise - صفة الجنة,The Description of Paradise,صفة الجنة,Sunan al-Tirmidhi
39,The Description of Hellfire - صفة جهنم,The Description of Hellfire,صفة جهنم,Sunan al-Tirmidhi
40,Faith - الإيمان,Faith,الإيمان,Sunan al-Tirmidhi
41,Knowledge - العلم,Knowledge,العلم,Sunan al-Tirmidhi
42,Seeking Permission - الاستئذان والآداب,Seeking Permission,الاستئذان والآداب,Sunan al-Tirmidhi
43,Manners - الأدب,Manners,الأدب,Sunan al-Tirmidhi
44,Parables - الأمثال,Parables,الأمثال,Sunan al-Tirmidhi
45,The Virtues of the Qur'an - ثواب القرآن,The Virtues of the Qur'an,ثواب القرآن,Sunan al-Tirmidhi
46,Recitation - القراءات,Recitation,القراءات,Sunan al-Tirmidhi
47,Tafsir - تفسير القرآن,Tafsir,تفسير القرآن,Sunan al-Tirmidhi
48,Supplication - الدعوات,Supplication,الدعوات,Sunan al-Tirmidhi
49,Virtues - المناقب,Virtues,المناقب,Sunan al-Tirmidhi
